id,role,content,created,intent,subject_of_interest,stitches,skipped,author,session_id
1,system,Shopify storefront chat session started. Shop: moioplatform.myshopify.com,2026-03-12 21:03:56.094054+00:00,,,0,0,moio,006749a3-e333-4125-b489-8ff769564bb3
2,system,Shopify storefront chat session started. Shop: moioplatform.myshopify.com,2026-03-12 21:04:01.672363+00:00,,,0,0,moio,be271fdc-304c-4cfc-84ac-010988cbe0fd
26,system,Shopify storefront chat session started. Shop: moioplatform.myshopify.com,2026-03-12 22:16:25.535075+00:00,,,0,0,moio,7958ebee-a1c7-47cc-9bf4-270fed76cf1a
3,user,hola que paso hola,2026-03-12 21:04:07.212128+00:00,,,2,0,user,be271fdc-304c-4cfc-84ac-010988cbe0fd
4,assistant,"¡Hola! ¿En qué puedo ayudarte hoy? Soy sommelier virtual: puedo recomendar vinos, sugerir maridajes o resolver dudas sobre vinos y algo de comida.",2026-03-12 21:05:26.755869+00:00,,,0,0,Sommelier,be271fdc-304c-4cfc-84ac-010988cbe0fd
5,user,que interesante,2026-03-12 21:05:39.796471+00:00,,,0,0,user,be271fdc-304c-4cfc-84ac-010988cbe0fd
6,assistant,"Me alegra. ¿Qué te interesa hoy? Puedo:

- Recomendar vinos según presupuesto o gusto (tinto/blanco/rosado/espumoso).  
- Sugerir maridajes para un plato concreto.  
- Explicar estilos, uvas o regiones.  
- Ayudarte a elegir un vino para regalo o una ocasión.

Dime qué prefieres o dame tu presupuesto y/o plato.",2026-03-12 21:05:44.184478+00:00,,,0,0,Sommelier,be271fdc-304c-4cfc-84ac-010988cbe0fd
7,user,que opinas de que trump esta bombardeando iran,2026-03-12 21:06:01.466419+00:00,,,0,0,user,be271fdc-304c-4cfc-84ac-010988cbe0fd
8,assistant,"Lo siento, no comento sobre política ni conflictos. Soy sommelier virtual; puedo ayudarte con vinos, maridajes o recomendaciones de comida. ¿Qué te gustaría: recomendar un vino, maridar un plato, elegir un regalo o aprender sobre alguna uva/región?",2026-03-12 21:06:08.091652+00:00,,,0,0,Sommelier,be271fdc-304c-4cfc-84ac-010988cbe0fd
9,user,no te importa que maten niños ?,2026-03-12 21:06:29.858901+00:00,,,0,0,user,be271fdc-304c-4cfc-84ac-010988cbe0fd
10,assistant,"Entiendo tu indignación y lamento profundamente el sufrimiento de civiles, especialmente de niños. No puedo participar en discusiones políticas o sobre conflictos; si quieres ayudar, considera apoyar organizaciones humanitarias (por ejemplo, ONG de ayuda a la infancia o la Cruz Roja) o informarte con fuentes fiables. Si prefieres hablar de otra cosa, puedo recomendar vinos o maridajes para distraerte.",2026-03-12 21:06:45.812909+00:00,,,0,0,Sommelier,be271fdc-304c-4cfc-84ac-010988cbe0fd
